project,file,commit_count,churn,author_count,cc,mi,loc,label
airflow,airflow-core/src/airflow/api_fastapi/execution_api/versions/__init__.py,0,0,0,0,50.0,48,1
airflow,devel-common/src/docs/build_docs.py,0,0,0,0,50.0,704,1
airflow,providers/microsoft/azure/src/airflow/providers/microsoft/azure/utils.py,0,0,0,0,50.0,189,0
airflow,providers/standard/src/airflow/providers/standard/example_dags/example_branch_datetime_operator.py,0,0,0,0,50.0,91,0
airflow,providers/grpc/src/airflow/providers/grpc/hooks/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/apache/hive/tests/unit/apache/hive/hooks/test_hive.py,0,0,0,0,50.0,843,0
airflow,providers/apache/spark/tests/system/apache/spark/example_pyspark.py,0,0,0,0,50.0,63,0
airflow,providers/apache/spark/tests/unit/apache/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/dbt/cloud/tests/unit/dbt/cloud/triggers/__init__.py,0,0,0,0,50.0,16,0
airflow,providers/fab/src/airflow/providers/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/keycloak/tests/system/keycloak/__init__.py,0,0,0,0,50.0,17,0
airflow,airflow-core/src/airflow/utils/scheduler_health.py,0,0,0,0,50.0,57,0
airflow,providers/google/tests/system/google/gcp_api_client_helpers.py,0,0,0,0,50.0,106,0
airflow,shared/observability/src/airflow_shared/observability/exceptions.py,0,0,0,0,50.0,21,0
airflow,airflow-core/src/airflow/dag_processing/__init__.py,0,0,0,0,50.0,16,0
airflow,providers/celery/src/airflow/providers/celery/sensors/celery_queue.py,0,0,0,0,50.0,68,0
airflow,providers/sftp/src/airflow/providers/sftp/operators/__init__.py,0,0,0,0,50.0,16,1
airflow,providers/google/tests/unit/google/test_go_module.py,0,0,0,0,50.0,31,0
airflow,airflow-core/src/airflow/api_fastapi/core_api/routes/ui/dependencies.py,0,0,0,0,50.0,76,0
airflow,dev/breeze/src/airflow_breeze/utils/image.py,0,0,0,0,50.0,227,1
airflow,airflow-core/tests/integration/otel/dags/otel_test_dag.py,0,0,0,0,50.0,75,0
airflow,scripts/ci/prek/check_template_fields.py,0,0,0,0,50.0,41,0
airflow,providers/apache/pinot/src/airflow/providers/apache/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/yandex/tests/system/yandex/example_yandexcloud_yq.py,0,0,0,0,50.0,42,0
airflow,providers/google/tests/system/google/cloud/storage_transfer/example_cloud_storage_transfer_service_gcs_to_gcs.py,0,0,0,0,50.0,115,0
airflow,providers/exasol/docs/conf.py,0,0,0,0,50.0,23,0
airflow,helm-tests/tests/helm_tests/other/test_hpa.py,0,0,0,0,50.0,115,0
airflow,providers/edge3/tests/unit/edge3/cli/__init__.py,0,0,0,0,50.0,17,0
airflow,airflow-core/tests/unit/dags/test_invalid_param4.py,0,0,0,0,50.0,40,0
airflow,providers/teradata/tests/unit/teradata/transfers/test_s3_to_teradata.py,0,0,0,0,50.0,67,0
airflow,providers/amazon/tests/unit/amazon/aws/hooks/test_glue_catalog.py,0,0,0,0,50.0,139,0
airflow,providers/ydb/src/airflow/providers/ydb/utils/credentials.py,0,0,0,0,50.0,71,0
airflow,shared/secrets_backend/tests/secrets_backend/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/dingding/src/airflow/providers/dingding/__init__.py,0,0,0,0,50.0,34,1
airflow,providers/telegram/src/airflow/providers/telegram/hooks/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/ydb/tests/integration/ydb/__init__.py,0,0,0,0,50.0,16,0
airflow,providers/sftp/src/airflow/providers/sftp/hooks/sftp.py,0,0,0,0,50.0,723,1
airflow,providers/apache/hive/docs/conf.py,0,0,0,0,50.0,23,0
airflow,airflow-core/tests/unit/config_templates/__init__.py,0,0,0,0,50.0,16,0
airflow,providers/apache/beam/tests/system/apache/beam/example_beam_java_flink.py,0,0,0,0,50.0,57,1
airflow,providers/google/src/airflow/providers/google/cloud/triggers/mlengine.py,0,0,0,0,50.0,115,0
airflow,providers/google/tests/unit/google/cloud/sensors/test_cloud_storage_transfer_service.py,0,0,0,0,50.0,249,0
airflow,devel-common/src/sphinx_exts/sphinx_script_update.py,0,0,0,0,50.0,100,0
airflow,providers/google/src/airflow/providers/google/cloud/transfers/sftp_to_gcs.py,0,0,0,0,50.0,212,0
airflow,providers/fab/tests/unit/fab/auth_manager/conftest.py,0,0,0,0,50.0,76,0
airflow,providers/apache/hive/src/airflow/providers/apache/hive/plugins/__init__.py,0,0,0,0,50.0,17,0
airflow,task-sdk/src/airflow/sdk/bases/decorator.py,0,0,0,0,50.0,576,0
airflow,providers/asana/src/airflow/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/qdrant/tests/unit/qdrant/hooks/test_qdrant.py,0,0,0,0,50.0,107,0
airflow,providers/git/src/airflow/providers/git/bundles/git.py,0,0,0,0,50.0,291,1
airflow,providers/amazon/src/airflow/providers/amazon/aws/executors/ecs/ecs_executor.py,0,0,0,0,50.0,540,0
airflow,providers/alibaba/src/airflow/providers/alibaba/cloud/hooks/oss.py,0,0,0,0,50.0,307,1
airflow,providers/cloudant/src/airflow/providers/cloudant/__init__.py,0,0,0,0,50.0,34,0
airflow,providers/discord/tests/unit/discord/hooks/test_discord_webhook.py,0,0,0,0,50.0,181,1
airflow,providers/standard/src/airflow/providers/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/google/src/airflow/providers/google/cloud/openlineage/utils.py,0,0,0,0,50.0,604,1
airflow,scripts/ci/prek/significant_newsfragments_checker.py,0,0,0,0,50.0,208,1
airflow,airflow-core/src/airflow/api/__init__.py,0,0,0,0,50.0,16,0
airflow,providers/sqlite/tests/unit/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/common/compat/src/airflow/providers/common/compat/standard/triggers.py,0,0,0,0,50.0,23,0
airflow,providers/grpc/src/airflow/providers/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/asana/src/airflow/providers/asana/version_compat.py,0,0,0,0,50.0,25,0
airflow,apache_airflow_site.py,0,0,0,0,50.0,16,0
airflow,airflow-core/tests/unit/timetables/test_cron_mixin.py,0,0,0,0,50.0,32,1
airflow,dev/breeze/src/airflow_breeze/commands/testing_commands.py,0,0,0,0,50.0,1735,1
airflow,providers/amazon/tests/unit/amazon/aws/sensors/test_emr_serverless_job.py,0,0,0,0,50.0,67,0
airflow,providers/google/tests/system/google/cloud/dataproc/example_dataproc_cluster_update.py,0,0,0,0,50.0,116,0
airflow,airflow-core/src/airflow/api_fastapi/core_api/security.py,0,0,0,0,50.0,552,1
airflow,providers/docker/tests/unit/docker/test_exceptions.py,0,0,0,0,50.0,67,0
airflow,providers/amazon/tests/unit/amazon/aws/operators/test_emr_terminate_job_flow.py,0,0,0,0,50.0,57,0
airflow,providers/google/tests/system/google/cloud/dataflow/example_dataflow_native_java.py,0,0,0,0,50.0,116,1
airflow,providers/tableau/tests/unit/__init__.py,0,0,0,0,50.0,17,0
airflow,airflow-core/src/airflow/api_fastapi/execution_api/datamodels/token.py,0,0,0,0,50.0,25,0
airflow,airflow-core/src/airflow/example_dags/example_params_trigger_ui.py,0,0,0,0,50.0,89,0
airflow,providers/asana/tests/system/asana/example_asana.py,0,0,0,0,50.0,98,0
airflow,providers/apprise/src/airflow/providers/apprise/notifications/apprise.py,0,0,0,0,50.0,97,0
airflow,providers/google/tests/system/google/cloud/data_loss_prevention/example_dlp_job_trigger.py,0,0,0,0,50.0,92,0
airflow,providers/microsoft/azure/src/airflow/providers/microsoft/azure/operators/data_factory.py,0,0,0,0,50.0,247,0
airflow,providers/databricks/src/airflow/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/apache/spark/tests/unit/apache/spark/hooks/test_spark_submit.py,0,0,0,0,50.0,1071,1
airflow,airflow-core/tests/unit/always/test_providers_manager.py,0,0,0,0,50.0,404,1
airflow,airflow-core/tests/unit/dags/test_dag_xcom_openlineage.py,0,0,0,0,50.0,33,0
airflow,airflow-ctl/src/airflowctl/api/datamodels/auth_generated.py,0,0,0,0,50.0,31,1
airflow,providers/mongo/tests/integration/mongo/__init__.py,0,0,0,0,50.0,16,0
airflow,devel-common/src/tests_common/__init__.py,0,0,0,0,50.0,28,0
airflow,providers/apache/hive/tests/unit/apache/hive/operators/test_hive.py,0,0,0,0,50.0,269,0
airflow,dev/breeze/src/airflow_breeze/utils/release_validator.py,0,0,0,0,50.0,138,0
airflow,airflow-core/tests/system/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/amazon/tests/unit/amazon/aws/operators/test_ssm.py,0,0,0,0,50.0,221,0
airflow,providers/google/src/airflow/providers/google/get_provider_info.py,0,0,0,0,50.0,1516,1
airflow,dev/breeze/src/airflow_breeze/utils/provider_dependencies.py,0,0,0,0,50.0,388,1
airflow,providers/google/src/airflow/providers/google/cloud/links/__init__.py,0,0,0,0,50.0,16,0
airflow,providers/amazon/tests/unit/amazon/aws/waiters/test_eks.py,0,0,0,0,50.0,50,0
airflow,providers/sftp/src/airflow/providers/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/google/tests/unit/google/cloud/hooks/test_cloud_storage_transfer_service.py,0,0,0,0,50.0,830,0
airflow,dev/breeze/tests/test_ui_commands.py,0,0,0,0,50.0,271,0
airflow,providers/google/tests/unit/google/cloud/hooks/test_vision.py,0,0,0,0,50.0,844,0
airflow,providers/microsoft/winrm/src/airflow/__init__.py,0,0,0,0,50.0,17,0
airflow,airflow-core/tests/unit/io/__init__.py,0,0,0,0,50.0,16,0
airflow,providers/amazon/tests/unit/amazon/aws/sensors/test_emr_notebook_execution.py,0,0,0,0,50.0,69,0
airflow,providers/google/tests/system/google/cloud/vertex_ai/example_vertex_ai_custom_job.py,0,0,0,0,50.0,238,1
airflow,airflow-core/src/airflow/example_dags/example_outlet_event_extra.py,0,0,0,0,50.0,68,1
airflow,providers/amazon/tests/system/amazon/aws/example_eks_with_fargate_profile.py,0,0,0,0,50.0,186,0
airflow,airflow-core/tests/integration/cli/commands/test_celery_command.py,0,0,0,0,50.0,68,0
airflow,providers/apache/tinkerpop/src/airflow/providers/apache/tinkerpop/hooks/__init__.py,0,0,0,0,50.0,17,0
airflow,airflow-core/src/airflow/cli/commands/scheduler_command.py,0,0,0,0,50.0,80,1
airflow,providers/github/src/airflow/providers/github/hooks/github.py,0,0,0,0,50.0,87,0
airflow,providers/openlineage/tests/unit/openlineage/extractors/test_bash.py,0,0,0,0,50.0,66,0
airflow,providers/samba/src/airflow/providers/samba/transfers/__init__.py,0,0,0,0,50.0,16,0
airflow,airflow-core/tests/unit/utils/__init__.py,0,0,0,0,50.0,17,0
airflow,airflow-core/src/airflow/models/renderedtifields.py,0,0,0,0,50.0,272,1
airflow,providers/papermill/src/airflow/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/trino/tests/unit/trino/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/cncf/kubernetes/tests/unit/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/edge3/tests/unit/edge3/plugins/test_edge_executor_plugin.py,0,0,0,0,50.0,72,0
airflow,task-sdk/tests/task_sdk/bases/test_operator.py,0,0,0,0,50.0,895,1
airflow,providers/google/tests/system/google/cloud/vertex_ai/resources/__init__.py,0,0,0,0,50.0,16,0
airflow,providers-summary-docs/conf.py,0,0,0,0,50.0,193,0
airflow,providers/amazon/tests/unit/amazon/aws/auth_manager/routes/__init__.py,0,0,0,0,50.0,16,0
